Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,3.41,3.87,3.30,3.79,118200,3.79
2015-09-03,4.07,4.07,3.00,3.42,198400,3.42
2015-09-02,4.21,4.41,3.88,4.00,57500,4.00
2015-09-01,4.80,4.84,3.80,3.99,257900,3.99
2015-08-31,5.28,5.29,4.80,4.86,20500,4.86
2015-08-28,5.05,5.25,5.01,5.16,12400,5.16
2015-08-27,5.15,5.20,5.06,5.17,13500,5.17
2015-08-26,4.95,5.30,4.50,5.28,28400,5.28
2015-08-25,5.13,5.28,4.85,4.86,15900,4.86
2015-08-24,5.04,5.21,4.60,5.15,29800,5.15
2015-08-21,5.13,5.50,5.01,5.31,28800,5.31
2015-08-20,5.45,5.49,4.98,5.34,30800,5.34
2015-08-19,5.88,5.97,5.60,5.61,16500,5.61
2015-08-18,5.63,6.21,5.55,5.75,83900,5.75
2015-08-17,5.57,5.70,5.45,5.54,29100,5.54
2015-08-14,5.89,5.89,5.60,5.61,7500,5.61
2015-08-13,6.33,6.57,5.50,5.91,27000,5.91
2015-08-12,5.97,6.00,5.52,5.63,17200,5.63
2015-08-11,5.95,6.00,5.80,5.93,16800,5.93
2015-08-10,6.35,6.50,6.04,6.06,21700,6.06
2015-08-07,6.39,6.56,6.33,6.35,3900,6.35
2015-08-06,6.49,6.57,6.35,6.49,16200,6.49
2015-08-05,6.48,6.74,6.32,6.40,25400,6.40
2015-08-04,6.72,6.73,6.32,6.48,45200,6.48
2015-08-03,6.60,6.92,6.40,6.52,28200,6.52
2015-07-31,6.45,6.51,6.19,6.39,7600,6.39
2015-07-30,6.27,6.49,6.27,6.37,8000,6.37
2015-07-29,6.81,6.99,6.41,6.43,46900,6.43
2015-07-28,7.00,7.00,6.36,6.58,41600,6.58
2015-07-27,6.30,6.50,6.10,6.19,53000,6.19
2015-07-24,6.04,6.19,6.00,6.07,6200,6.07
2015-07-23,6.03,6.03,6.03,6.03,500,6.03
2015-07-22,6.18,6.32,6.08,6.22,6300,6.22
2015-07-21,6.06,6.30,6.06,6.30,6400,6.30
2015-07-20,6.11,6.32,5.86,6.25,23100,6.25
2015-07-17,6.22,6.30,6.14,6.15,2500,6.15
2015-07-16,6.32,6.32,6.13,6.15,5600,6.15
2015-07-15,6.00,6.10,5.90,5.96,4300,5.96
2015-07-14,6.14,6.42,5.63,6.04,22500,6.04
2015-07-13,6.31,6.42,6.10,6.15,12300,6.15
2015-07-10,6.34,6.54,6.29,6.35,4000,6.35
2015-07-09,6.05,6.39,6.05,6.33,12600,6.33
2015-07-08,6.52,6.52,6.00,6.25,3900,6.25
2015-07-07,6.33,6.33,6.10,6.26,1800,6.26
2015-07-06,6.28,6.34,6.05,6.34,5300,6.34
2015-07-02,6.23,6.45,6.23,6.31,5600,6.31
2015-07-01,6.05,6.44,6.05,6.22,5000,6.22
2015-06-30,6.45,6.45,6.00,6.00,12600,6.00
2015-06-29,6.35,6.52,6.00,6.00,16200,6.00
2015-06-26,6.81,6.92,6.45,6.53,23500,6.53
2015-06-25,6.68,6.93,6.28,6.87,27500,6.87
2015-06-24,6.95,7.09,6.52,6.56,18400,6.56
2015-06-23,6.92,6.95,6.71,6.95,17800,6.95
2015-06-22,6.67,6.93,6.67,6.70,8400,6.70
2015-06-19,6.83,6.90,6.49,6.66,23800,6.66
2015-06-18,6.98,7.00,6.81,6.83,23100,6.83
2015-06-17,7.07,7.14,6.90,6.99,8100,6.99
2015-06-16,7.12,7.37,6.82,7.07,14700,7.07
2015-06-15,7.08,7.28,7.00,7.02,13200,7.02
2015-06-12,7.34,7.34,7.02,7.23,16800,7.23
2015-06-11,6.96,7.59,6.92,7.24,101500,7.24
2015-06-10,6.82,6.97,6.71,6.97,37700,6.97
2015-06-09,6.53,6.92,6.46,6.66,38400,6.66
2015-06-08,6.46,6.94,6.46,6.93,38100,6.93
2015-06-05,6.41,6.66,6.33,6.51,38600,6.51
2015-06-04,6.23,6.54,6.10,6.51,23700,6.51
2015-06-03,6.50,6.50,6.13,6.35,15500,6.35
2015-06-02,6.62,6.62,5.84,6.49,123000,6.49
2015-06-01,7.00,7.20,6.15,6.30,45000,6.30
2015-05-29,6.80,7.15,6.52,6.89,81300,6.89
2015-05-28,6.57,6.65,6.33,6.58,16500,6.58
2015-05-27,6.26,6.68,6.26,6.46,25900,6.46
2015-05-26,6.67,6.92,6.29,6.31,40300,6.31
2015-05-22,6.42,6.43,6.02,6.43,18500,6.43
2015-05-21,5.73,6.43,5.73,6.31,34200,6.31
2015-05-20,5.76,5.96,5.17,5.73,140300,5.73
2015-05-19,5.76,6.00,5.56,5.76,23400,5.76
2015-05-18,5.65,5.77,5.40,5.75,58500,5.75
2015-05-15,6.17,6.17,5.72,5.77,58800,5.77
2015-05-14,6.03,6.40,5.87,6.17,63500,6.17
2015-05-13,5.88,6.00,5.82,5.90,23500,5.90
2015-05-12,6.05,6.12,5.81,5.93,51100,5.93
2015-05-11,6.22,6.22,5.83,5.96,42500,5.96
2015-05-08,5.76,6.46,5.72,6.22,16300,6.22
2015-05-07,5.83,5.89,5.60,5.81,18100,5.81
2015-05-06,6.11,6.73,5.79,5.83,12000,5.83
2015-05-05,5.99,6.11,5.99,6.11,35500,6.11
2015-05-04,5.87,6.37,5.87,6.11,53200,6.11
2015-05-01,5.85,6.17,5.70,5.88,30900,5.88
2015-04-30,6.03,6.19,5.86,5.89,29000,5.89
2015-04-29,6.30,6.47,6.00,6.11,34600,6.11
2015-04-28,6.56,6.56,5.85,6.51,69800,6.51
2015-04-27,6.95,6.95,6.27,6.34,66500,6.34
2015-04-24,7.53,7.53,6.70,6.89,121100,6.89
2015-04-23,7.64,7.66,7.29,7.60,32000,7.60
2015-04-22,8.55,8.55,7.36,7.71,129000,7.71
2015-04-21,7.78,8.65,7.61,8.35,168900,8.35
2015-04-20,7.84,7.88,7.43,7.82,80000,7.82
2015-04-17,7.50,7.98,7.30,7.67,117900,7.67
2015-04-16,7.06,7.80,7.01,7.69,196000,7.69
2015-04-15,7.40,7.40,6.73,6.94,106800,6.94
2015-04-14,6.17,7.26,6.09,7.18,207900,7.18
2015-04-13,6.15,6.18,5.96,6.12,31500,6.12
2015-04-10,5.81,6.17,5.81,6.13,15700,6.13
2015-04-09,6.11,6.17,5.76,5.88,43800,5.88
2015-04-08,6.20,6.22,5.92,6.19,19000,6.19
2015-04-07,6.14,6.26,5.91,6.15,21100,6.15
2015-04-06,6.34,6.34,6.04,6.19,25700,6.19
2015-04-02,6.35,6.38,6.16,6.25,14600,6.25
2015-04-01,6.66,6.66,6.14,6.22,21800,6.22
2015-03-31,6.35,6.58,6.18,6.36,13900,6.36
2015-03-30,6.21,6.47,6.12,6.36,20200,6.36
2015-03-27,6.04,6.56,5.71,6.21,52400,6.21
2015-03-26,5.88,6.28,5.36,5.90,88500,5.90
2015-03-25,6.91,6.98,6.03,6.05,104800,6.05
2015-03-24,6.99,6.99,6.74,6.79,22000,6.79
2015-03-23,7.00,7.10,6.76,6.94,33800,6.94
2015-03-20,6.78,7.44,6.65,6.82,66500,6.82
2015-03-19,7.00,7.06,6.61,6.99,121400,6.99
2015-03-18,7.28,7.34,7.00,7.08,84800,7.08
2015-03-17,7.75,7.86,7.20,7.31,125400,7.31
2015-03-16,7.45,7.84,7.25,7.58,196200,7.58
2015-03-13,7.22,7.40,7.05,7.35,125700,7.35
2015-03-12,7.25,7.34,6.81,7.21,108000,7.21
2015-03-11,6.95,7.08,6.65,7.08,728600,7.08
2015-03-10,8.00,8.44,7.00,7.08,324500,7.08
2015-03-09,8.99,10.90,8.18,8.30,597000,8.30
2015-03-06,6.78,7.75,6.78,7.35,118900,7.35
2015-03-05,6.45,6.94,6.45,6.82,14100,6.82
2015-03-04,6.51,6.51,6.44,6.45,10400,6.45
2015-03-03,6.67,6.90,6.43,6.63,8000,6.63
2015-03-02,6.99,6.99,6.37,6.80,15800,6.80
2015-02-27,6.85,6.86,6.52,6.66,7600,6.66
2015-02-26,6.87,6.97,6.49,6.82,34000,6.82
2015-02-25,6.36,6.92,6.36,6.88,20300,6.88
2015-02-24,6.67,6.69,6.35,6.46,12100,6.46
2015-02-23,6.72,6.94,6.20,6.51,28800,6.51
2015-02-20,7.15,7.30,6.69,6.83,23900,6.83
2015-02-19,7.10,7.14,6.53,6.99,43800,6.99
2015-02-18,6.36,7.63,6.36,6.97,104400,6.97
2015-02-17,5.84,6.29,5.84,6.20,22200,6.20
2015-02-13,5.77,6.00,5.63,5.83,49700,5.83
2015-02-12,5.47,5.62,5.16,5.62,34000,5.62
2015-02-11,5.38,6.05,5.38,5.47,127700,5.47
2015-02-10,5.24,5.24,5.00,5.17,9500,5.17
2015-02-09,4.94,5.20,4.94,5.13,12600,5.13
2015-02-06,5.00,5.00,4.95,5.00,15200,5.00
2015-02-05,5.05,5.15,5.00,5.06,9900,5.06
2015-02-04,5.10,5.16,5.02,5.05,3500,5.05
2015-02-03,5.21,5.56,5.06,5.17,19800,5.17
2015-02-02,5.65,5.65,5.03,5.06,61000,5.06
2015-01-30,5.75,5.75,5.61,5.67,27400,5.67
2015-01-29,5.76,5.86,5.61,5.68,60400,5.68
2015-01-28,5.76,6.05,5.71,5.91,64400,5.91
2015-01-27,5.79,6.32,5.70,5.94,206200,5.94
2015-01-26,4.30,6.18,4.30,5.85,582100,5.85
2015-01-23,4.00,4.12,4.00,4.09,16500,4.09
2015-01-22,4.02,4.11,3.96,3.99,17900,3.99
2015-01-21,4.10,4.17,4.01,4.06,12500,4.06
2015-01-20,4.27,4.27,4.05,4.19,15400,4.19
2015-01-16,4.56,4.56,4.25,4.35,13200,4.35
2015-01-15,4.83,4.85,4.60,4.60,8200,4.60
2015-01-14,4.31,4.84,4.31,4.71,7100,4.71
2015-01-13,4.50,4.57,4.45,4.57,12200,4.57
2015-01-12,4.55,4.67,4.20,4.53,8700,4.53
2015-01-09,4.49,4.81,4.49,4.60,24700,4.60
2015-01-08,4.15,4.47,4.13,4.47,22300,4.47
2015-01-07,4.28,4.30,4.05,4.06,27500,4.06
2015-01-06,4.42,4.48,4.20,4.48,16700,4.48
2015-01-05,4.65,4.65,4.40,4.47,8000,4.47
2015-01-02,4.82,4.84,4.50,4.68,8200,4.68
